"","Species","Area","Units","Country","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006"
"8846","SQC","27.2.a","TLW","GB",0,0,0.01,0,0.02,0,0.04,0,0,0,0.01,0
"8847","SQE","27.2.a","TLW","ES",0,0,0,0,0.03,0,0,0,0,0,0,0
"8848","SQE","27.2.a","TLW","IS",0,0,6,0,0,0,0,0,0,0,0,0
"8849","SQE","27.2.a","TLW","NO",0.04,0.09,0,0,0.02,0,0,1.04,0.01,0.6,0.01,0
"8850","SQU","27.2.a","TLW","DE",0,0,0,0,0,0,0,0,0,0,0.2,0
"8851","SRA","27.2.a","TLW","DE",0.12,0,0,0,0,0,0,0,0,0,0,0
"8852","SRX","27.2.a","TLW","DE",0.1,0,0.17,0,0,0,0,0,0.01,0,0,0
"8853","SRX","27.2.a","TLW","NO",100.42,192.47,110.56,101.16,137.22,110.54,192.27,246.83,219,0,0,0
"8854","SWO","27.2.a","TLW","NO",0,0.1,0,0,0,0,0,0,0,0,0,0
"8855","TBR","27.2.a","TLW","NO",94.62,73.74,71.14,101.97,66.19,67.99,80.78,83.55,4,0,0,0
"8856","TRS","27.2.a","TLW","NO",0,0,0,1.49,1.46,2.53,0,7.61,0,0,0,9
"8857","TUR","27.2.a","TLW","FR",0.02,0,0,0,0,0.01,0,0,0,0,0,0
"8858","TUR","27.2.a","TLW","GB",0,0,0.02,0,0,0,0,0,0,0,0,0.01
"8859","TUR","27.2.a","TLW","NO",5.7,5.67,4.03,5.06,5.01,5.62,4.79,6.93,6,5.5,7,6
"8860","URC","27.2.a","TLW","NO",0.2,0,0,0,0,0.28,0,0.07,0.01,0.9,2,3
"8861","USB","27.2.a","TLW","FR",0.1,0,0,0,0,0.01,0,0,0,0,0,0
"8862","USB","27.2.a","TLW","NO",76.46,55.72,66.39,33.88,26.87,18.94,35.76,22.17,21,0,0,0
"8863","USI","27.2.a","TLW","NO",0,0,0.11,0,0,0,0,0,0,0,0,0
"8864","USK","27.2.a","TLW","DE",1.22,0.71,0.06,0.61,3.04,0.75,0,0,0.2,0,0.1,0.3
"8865","USK","27.2.a","TLW","DK",0,0,0,0,0,0,0,0,0,0,0.01,0
"8866","USK","27.2.a","TLW","FO",16.78,61.21,27.693,31,24,49,68,39,60,52,54,33
"8867","USK","27.2.a","TLW","FR",3.72,2.48,4.76,9.1,6.82,6.18,5.81,6.1,1.1,6.5,6.6,8.7
"8868","USK","27.2.a","TLW","GB",1.67,1.28,1.31,7.37,7.1,6.7,1.4,0.7,0.9,4,4.2,1.01
"8869","USK","27.2.a","TLW","GL",3.4,2,0,0,0,5,0,0,0,0,0,0
"8870","USK","27.2.a","TLW","IE",0,0,0,0,0,0,0,0,0,0,12.1,7.8
"8871","USK","27.2.a","TLW","IS",6,3,1,0,2,9,9,0,0.7,0,0,0
"8872","USK","27.2.a","TLW","NO",6520.04,10330.55,8901.95,7682.01,7719.74,8766.42,10284.07,11587.69,8328,10848.4,9848,9247
"8873","USK","27.2.a","TLW","PL",0.55,0.37,1.24,0,0,0,0,0,0,0,0,0
"8874","USK","27.2.a","TLW","RU",106,57,90,38,53,48,41,49,82,56,85,51
"8875","WHB","27.2.a","TLW","DE",5871.17,1739.48,107.76,26.29,37.67,1.81,21.8,1,0,0,125.3,1741.3
"8876","WHB","27.2.a","TLW","DK",63,166.63,137.84,327.21,14.3,84.14,0,10.5,20.2,68,181,338
"8877","WHB","27.2.a","TLW","ES",0,0,0,0,0,0,0,0,0,0,163.5,0
"8878","WHB","27.2.a","TLW","FO",46411.331,22161.793,26347,9153,4642,1568,1167,841,1041,7460,17787,58168
"8879","WHB","27.2.a","TLW","FR",0,0,0.24,0,0,0,0,0,0,1504.2,1504.2,2315.5
"8880","WHB","27.2.a","TLW","GB",108.06,43.17,19.28,22.2,0,0,0,2.4,17.5,4,0,0
"8881","WHB","27.2.a","TLW","GL",2931.3,495,70,0,1,0,0,0,0,0,0,0
"8882","WHB","27.2.a","TLW","IE",8.95,1.32,26.47,32.23,0,0,0,0,0,0,0,0
"8883","WHB","27.2.a","TLW","IS",0,1617,1452,12817,1118,943,2731,2018,0,2315,59865,100.7
"8884","WHB","27.2.a","TLW","LT",0,1129.26,0,0,0,0,0,0,0,0,0,0
"8885","WHB","27.2.a","TLW","NL",1964.62,2798.1,937.3,95.2,16,0,49,16,52,147,92,1635
"8886","WHB","27.2.a","TLW","NO",8061.92,4857.29,34402.04,1555.26,1589.4,1182.96,1087.37,1671.96,2347,3418.6,6530,16483
"8887","WHB","27.2.a","TLW","RU",21736,10424,52992,18567,20669,17832,13651,29916,41589,57592,60138,145704
"8888","WHB","27.2.a","TLW","SE",2.82,0,0,0,0,1.8,0,0,0,0,0,0
"8889","WHE","27.2.a","TLW","GB",0,0,0,0.4,0,0,0,0,0,0,0,0
"8890","WHE","27.2.a","TLW","IE",1.25,0,0,0,0,0,0,0,0,0,0,0
"8891","WHE","27.2.a","TLW","NO",335.32,365.47,87.91,12.45,77.61,34.2,0,16.03,41,72.5,21,50
"8892","WHG","27.2.a","TLW","DE",0.5,0,0,0.06,0,0,0,0,0.01,0,0.3,0.3
"8893","WHG","27.2.a","TLW","DK",0,0,0,0,0,0,0.67,0,0,0,0,0
"8894","WHG","27.2.a","TLW","FO",0.126,0.404,0.429,0,0,0,0,1,1,1,0,2
"8895","WHG","27.2.a","TLW","FR",0.08,0.15,0.09,0.48,0.04,0.49,0.18,1.9,0,7.5,7.7,0.1
"8896","WHG","27.2.a","TLW","GB",0,6.21,0.81,0,0.05,0,0,0.2,0,0.01,0.1,0.02
"8897","WHG","27.2.a","TLW","GL",0,0.2,0,0,0,0,0,0,0,0,0,0
"8898","WHG","27.2.a","TLW","IE",0,0,0,0,0,0,0,0,0,0,0,10.3
"8899","WHG","27.2.a","TLW","IS",1,0,0,0,1,0,0,0,0,0,0,0
"8900","WHG","27.2.a","TLW","NL",0,0,0.1,0,0,0,0,0,0,0,0,0
"8901","WHG","27.2.a","TLW","NO",28.09,29.85,44.17,35.5,41.51,67.09,50.5,40.18,29,20.6,25,27
"8902","WHG","27.2.a","TLW","PL",0.25,0.47,2.15,0,0,0,0,0,0,0,0,0
"8903","WHG","27.2.a","TLW","RU",2,1,1,0,0,0,0,0,0,0,0,0
"8904","WIT","27.2.a","TLW","DE",0,0.09,0.03,0,0,0,0,0,0,0,0,0.01
"8905","WIT","27.2.a","TLW","DK",0,0,0,0,0,0,0,0,0,0,0.01,0
"8906","WIT","27.2.a","TLW","FO",0,0.48,0.027,0,0,0,0,0,0,0,0,0
"8907","WIT","27.2.a","TLW","GB",0.05,0.26,0.3,0.45,0.53,0.1,0.01,0.2,0.1,0.01,0.61,0.01
"8908","WIT","27.2.a","TLW","NO",0.61,0.98,1.54,0.21,0.04,0.24,0,0,0,0,0,0.01
"8909","WIT","27.2.a","TLW","PT",0,0,0,0,0.14,0,0,0,0,0,0,0
"8910","WRA","27.2.a","TLW","NO",0,0,0,0.13,0,0.23,1.22,1.89,0,0,0,4
"8911","YFM","27.2.a","TLW","NO",68.39,74.58,42.4,40.45,30.46,27.26,36.8,14.45,1,0,0,0
"8912","ANF","27.2.a.1","TLW","DE",0,0.07,0,0,0,0,69.52,82,0.1,0,0,0
"8913","ANF","27.2.a.1","TLW","FR",0.01,0,0,0,0,0,0,0,0,0,0,0
"8914","ARU","27.2.a.1","TLW","DE",0,0,0,0,0,0,0,0,0.1,0,0,0
"8915","ARY","27.2.a.1","TLW","DE",0,0.38,0,0,0,0,0,0,0,0,0,0
"8916","BIB","27.2.a.1","TLW","FR",0.03,0,0,0,0,0,0,0,0,0,0,0
"8917","BLI","27.2.a.1","TLW","DE",0,0.06,0,0,0,0,0,0,0.1,0,0,0
"8918","BLI","27.2.a.1","TLW","IS",0,0,0,4,0,0,0,0,0,0,0,0
"8919","BLL","27.2.a.1","TLW","FR",0.01,0,0,0,0,0,0,0,0,0,0,0
"8920","BRB","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8921","BSS","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8922","CAA","27.2.a.1","TLW","IS",0,0,0,0,1,0,0,0,0,0,0,0
"8923","CAA","27.2.a.1","TLW","NO",0,0.13,0,0,0,0,0,0,0,0,0,0
"8924","CAS","27.2.a.1","TLW","NO",0,2.92,0,0,0,0,0,0,0,0,0,0
"8925","CAT","27.2.a.1","TLW","DE",0,1.01,0,0,0,0.81,0.35,0,2.3,0,0,0
"8926","CMO","27.2.a.1","TLW","DE",0,0.14,0,0,0,0,0,0,0,0,0,0
"8927","COD","27.2.a.1","TLW","DE",0,1657.2,0,0,0,1801.89,1406.85,3578,3567.4,2801.7,0,0
"8928","COD","27.2.a.1","TLW","GB",1.25,0,0,0,0,0,0,0,0,0,0,0
"8929","COD","27.2.a.1","TLW","GL",8.8,2,0,0,0,0,0,6052,0,0,0,0
"8930","COD","27.2.a.1","TLW","IS",0,0,0,0,6,4,0,0,0,0,0,0
"8931","COD","27.2.a.1","TLW","NO",2.84,504.68,0,0,0,0,0,0,0,0,0,0
"8932","COD","27.2.a.1","TLW","PT",0,0,0,4.21,0,0,0,0,0,0,0,0
"8933","COE","27.2.a.1","TLW","DE",0,0.03,0,0,0,0,0,0,0,0,0,0
"8934","CRQ","27.2.a.1","TLW","NO",0,0,0,0,17.59,0,0,0,0,0,0,0
"8935","CTZ","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8936","DAB","27.2.a.1","TLW","DE",0,0.37,0,0,0,0,0,0,0,0,0,0
"8937","DAB","27.2.a.1","TLW","NL",0,0,0.1,0,0,0,0,0,0,0,0,0
"8938","DGS","27.2.a.1","TLW","DE",0,0.12,0,0,0,0,0,0,0,0,0,0
"8939","FIN","27.2.a.1","TLW","DE",0,0,0,0,0,0,14.12,20,38.9,94.7,0,0
"8940","GHL","27.2.a.1","TLW","DE",0,6.25,0,0,0,0,0,0,0.1,3.7,0,0
"8941","GHL","27.2.a.1","TLW","GL",0,0,2.2,0,0,0,0,15,0,0,0,0
"8942","GHL","27.2.a.1","TLW","NO",5.9,4.84,0,0,0,0,0,0,0,0,0,0
"8943","GHL","27.2.a.1","TLW","PT",0,0.95,0,0,0,0,0,0,0,0,0,0
"8944","HAD","27.2.a.1","TLW","DE",0,118.48,0,0,0,369.5,190.68,623,591.2,503.9,0,0
"8945","HAD","27.2.a.1","TLW","GL",0,0,0,0,0,0,0,1958,0,0,0,0
"8946","HAD","27.2.a.1","TLW","IS",0,0,0,0,1,0,0,0,0,0,0,0
"8947","HAD","27.2.a.1","TLW","NO",0.15,59.64,0,0,0,0,0,0,0,0,0,0
"8948","HAD","27.2.a.1","TLW","PT",0,50.68,0,0.09,0,0,0,0,0,0,0,0
"8949","HAL","27.2.a.1","TLW","DE",0,4.2,0,0,0,6.69,2.09,8,8.7,10.9,0,0
"8950","HAL","27.2.a.1","TLW","GL",0,0,0,0,0,0,0,14,0,0,0,0
"8951","HAL","27.2.a.1","TLW","NO",0,1.18,0,0,0,0,0,0,0,0,0,0
"8952","HER","27.2.a.1","TLW","DE",4607.37,2582.6,0,0,0,3361.26,11787.07,7731,6490.3,8091.1,0,0
"8953","HER","27.2.a.1","TLW","DK",5017,218.6,8442.35,10407.82,0,0,0,0,0,0,0,0
"8954","HER","27.2.a.1","TLW","GB",31.27,21.86,19.19,0,0,0,0,0,0,0,0,0
"8955","HER","27.2.a.1","TLW","GL",47.8,0,0,0,7840,340,230,3453,0,0,0,0
"8956","HER","27.2.a.1","TLW","IE",1178.89,1528.81,999.16,705.57,0,0,0,0,0,0,0,0
"8957","HER","27.2.a.1","TLW","IS",0,0,0,168,0,6522,0,0,0,0,0,0
"8958","HER","27.2.a.1","TLW","NL",5544.57,1827.1,3165.5,36.7,0,0,0,3553,0,0,0,0
"8959","HER","27.2.a.1","TLW","NO",157794.06,12340.71,0,7255.04,36549.43,4314.9,47314.23,12121.75,53406,0,0,0
"8960","HER","27.2.a.1","TLW","RU",61301,0,0,0,0,0,0,0,0,0,0,0
"8961","HER","27.2.a.1","TLW","SE",766.22,0,0,0,0,0,0,0,0,0,0,0
"8962","HKE","27.2.a.1","TLW","DE",0,3.77,0,0,0,20.15,8.02,1,0.3,0.1,0,0
"8963","HKE","27.2.a.1","TLW","DK",0,0,24.93,0,0,0,0,0,0,0,0,0
"8964","HKE","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8965","HOM","27.2.a.1","TLW","NO",0,0.84,0,0.49,0,0,15,0,0,0,0,0
"8966","JOD","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8967","KEF","27.2.a.1","TLW","DE",0,0,0,0,0,0,0.03,0,0,0,0,0
"8968","LEZ","27.2.a.1","TLW","DE",0,0,0,0,0,0,0,1,0,0,0,0
"8969","LIN","27.2.a.1","TLW","DE",0,8.75,0,0,0,8.73,5.97,18,6.5,7.3,0,0
"8970","LIN","27.2.a.1","TLW","FR",0.01,0,0,0,0,0,0,0,0,0,0,0
"8971","LIN","27.2.a.1","TLW","NO",0,0.08,0,0,0,0,0,0,0,0,0,0
"8972","LUM","27.2.a.1","TLW","DE",0,0.37,0,0,0,0,0,0,0,0,0,0
"8973","MAC","27.2.a.1","TLW","DE",970.13,3499.07,0,0,0,101.38,0,0,0,0,0,0
"8974","MAC","27.2.a.1","TLW","DK",0,0,1.78,0.86,0,0,0,0,0,0,0,0
"8975","MAC","27.2.a.1","TLW","GB",1579.24,1045.8,2044.55,0,0,0,0,0,0,0,0,0
"8976","MAC","27.2.a.1","TLW","GL",9377.5,0,0,0,0,0,0,0,0,0,0,0
"8977","MAC","27.2.a.1","TLW","IE",0,2.08,2.33,0,0,0,0,0,0,0,0,0
"8978","MAC","27.2.a.1","TLW","IS",0,0,0,4729,0,0,0,0,0,0,0,0
"8979","MAC","27.2.a.1","TLW","LT",0,1125.13,0,0,0,0,0,0,0,0,0,0
"8980","MAC","27.2.a.1","TLW","NL",4881.56,1209.5,8214.6,8.6,0,0,0,46,0,0,0,0
"8981","MAC","27.2.a.1","TLW","NO",17102.27,0,0,13185.22,76.41,0,1.27,0,0,0,0,0
"8982","MAC","27.2.a.1","TLW","RU",123595,0,0,0,0,0,0,0,0,0,0,0
"8983","MAC","27.2.a.1","TLW","SE",0.96,0,0,0,0,0,0,0,0,0,0,0
"8984","MEG","27.2.a.1","TLW","DE",0,0.03,0,0,0,0.05,0,0,0,0.1,0,0
"8985","MZZ","27.2.a.1","TLW","FR",0.04,0,0,0,0,0,0,0,0,0,0,0
"8986","PLA","27.2.a.1","TLW","DE",0,0.16,0,0,0,0.01,0,0,0,0,0,0
"8987","PLE","27.2.a.1","TLW","DE",0,0.09,0,0,0,0.08,0.18,0,0,0,0,0
"8988","POK","27.2.a.1","TLW","DE",0,951.63,0,0,0,1365.75,1370.94,1592,2021.3,2262.2,0,0
"8989","POK","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"8990","POK","27.2.a.1","TLW","GL",0,0,0,0,0,0,0,941,0,0,0,0
"8991","POK","27.2.a.1","TLW","IS",0,0,0,0,0,2,0,0,0,0,0,0
"8992","POK","27.2.a.1","TLW","NO",10.66,46.58,0,0,0,0,3.4,0,5,0,0,0
"8993","POK","27.2.a.1","TLW","PT",0,34.95,0,0.02,0,0,0,0,0,0,0,0
"8994","POL","27.2.a.1","TLW","DE",0,0.71,0,0,0,0.99,8.03,1,0.01,0.2,0,0
"8995","POL","27.2.a.1","TLW","FR",0.08,0,0,0,0,0,0,0,0,0,0,0
"8996","REB","27.2.a.1","TLW","DE",750.39,0,0,0,0,0,0,0,0,0,0,0
"8997","REB","27.2.a.1","TLW","ES",2939.47,2227.96,2519.29,13.25,8.19,1768.16,0,0,0,0,0,0
"8998","REB","27.2.a.1","TLW","IS",0,0,0,0,0,17,0,0,0,0,0,0
"8999","REB","27.2.a.1","TLW","LT",790.12,1064.57,326.66,166.62,261.58,447.81,0,0,0,0,0,0
"9000","REB","27.2.a.1","TLW","NL",0,0.2,2.9,0,0,0,0,0,0,0,0,0
"9001","REB","27.2.a.1","TLW","NO",0,2.93,0,0,0,0,328.1,492.63,0,0,0,0
"9002","REB","27.2.a.1","TLW","PL",13.96,0,0,99.93,68.01,0,0,0,0,0,0,0
"9003","REB","27.2.a.1","TLW","PT",791.09,0,677.76,308.29,1055.44,514.86,595.41,0,0,0,0,0
"9004","RED","27.2.a.1","TLW","DE",0,492.69,0,0,0,502.15,705.61,40,77.9,37.2,0,0
"9005","RED","27.2.a.1","TLW","LT",0,0,0,0,0,0,561,505.6,0,0,0,0
"9006","RED","27.2.a.1","TLW","PT",0,821.56,0,0.02,0,0,0,0,0,0,0,0
"9007","REG","27.2.a.1","TLW","GL",0,0,0,0,0,0,0,83,0,0,0,0
"9008","REG","27.2.a.1","TLW","IS",0,0,0,25,0,0,0,0,0,0,0,0
"9009","REG","27.2.a.1","TLW","NO",0.29,6.44,0,0,0,0,0,0.25,1,0,0,0
"9010","SCO","27.2.a.1","TLW","ES",674.23,397.15,0,682.28,0,0,0,0,0,0,0,0
"9011","SDV","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"9012","SKA","27.2.a.1","TLW","DE",0,0.34,0,0,0,0,0,0,0,0,0,0
"9013","SOL","27.2.a.1","TLW","FR",0.03,0,0,0,0,0,0,0,0,0,0,0
"9014","SRX","27.2.a.1","TLW","DE",0,0,0,0,0,0,0,0,0.01,0,0,0
"9015","TUR","27.2.a.1","TLW","FR",0.02,0,0,0,0,0,0,0,0,0,0,0
"9016","USB","27.2.a.1","TLW","FR",0.1,0,0,0,0,0,0,0,0,0,0,0
"9017","USK","27.2.a.1","TLW","DE",0,0.71,0,0,0,0.75,0,0,0.2,0,0,0
"9018","WHB","27.2.a.1","TLW","DE",89.7,1739.48,0,0,0,1.81,21.8,1,0,0,0,0
"9019","WHB","27.2.a.1","TLW","DK",62,0,116.38,281.33,0,0,0,0,0,0,0,0
"9020","WHB","27.2.a.1","TLW","GB",101.34,43.17,9,0,0,0,0,0,0,0,0,0
"9021","WHB","27.2.a.1","TLW","GL",1.3,0,0,0,0,0,0,0,0,0,0,0
"9022","WHB","27.2.a.1","TLW","IE",8.95,1.32,18.53,32.23,0,0,0,0,0,0,0,0
"9023","WHB","27.2.a.1","TLW","IS",0,0,0,105,130,0,0,0,0,0,0,0
"9024","WHB","27.2.a.1","TLW","LT",0,1129.26,0,0,0,0,0,0,0,0,0,0
"9025","WHB","27.2.a.1","TLW","NL",418.81,707.6,358.4,3.2,0,0,0,1,0,0,0,0
"9026","WHB","27.2.a.1","TLW","NO",324.35,25.58,0,5.6,92.85,0,90.56,36.7,168,0,0,0
"9027","WHB","27.2.a.1","TLW","RU",18018,0,0,0,0,0,0,0,0,0,0,0
"9028","WHB","27.2.a.1","TLW","SE",2.82,0,0,0,0,0,0,0,0,0,0,0
"9029","WHG","27.2.a.1","TLW","DE",0,0,0,0,0,0,0,0,0.01,0,0,0
"9030","WHG","27.2.a.1","TLW","NL",0,0,0.1,0,0,0,0,0,0,0,0,0
"9031","WHG","27.2.a.1","TLW","NO",2.41,0,0,0,0,0,0,0,0,0,0,0
"9032","WIT","27.2.a.1","TLW","DE",0,0.09,0,0,0,0,0,0,0,0,0,0
"9033","ANF","27.2.a.2","TLW","DE",0,0,0.01,0,0,0,0,0,0,0,0,0
"9034","ANF","27.2.a.2","TLW","FR",4.21,1.55,0,0,0,0,0,0,0,0,0,0
"9035","ANF","27.2.a.2","TLW","GB",5.2,75.52,105.44,2.25,110.6,2.6,2.5,39.6,152.4,138,0,0
"9036","ARG","27.2.a.2","TLW","IS",0,0,0,0,0,18,0,0,0,0,0,0
"9037","ARG","27.2.a.2","TLW","NO",12231.77,12839.75,11991.13,11749.93,11978.32,11999.95,11475.75,11525.26,11929,0,0,0
"9038","ARG","27.2.a.2","TLW","PL",0,0.74,0.46,0,0,0,0,0,0,0,0,0
"9039","ARG","27.2.a.2","TLW","PT",0.06,0,0,0,0,0,0,0,0,0,0,0
"9040","ARG","27.2.a.2","TLW","RU",33,0,0,0,0,0,0,0,0,0,0,0
"9041","ARU","27.2.a.2","TLW","GB",0,0,0,0,0,0,0.4,23.1,0,0,0,0
"9042","ARU","27.2.a.2","TLW","IS",0,0,132,0,0,0,0,0,0,0,0,0
"9043","ARU","27.2.a.2","TLW","NL",11.01,0,0,0,0,0,0,0,0,0,0,0
"9044","ARU","27.2.a.2","TLW","NO",2,93.16,55.19,0,0,0,0,234.79,0,0,0,0
"9045","ARY","27.2.a.2","TLW","NO",42,181.74,1.96,0,0,0,0,60,0,0,0,0
"9046","BFT","27.2.a.2","TLW","NO",16.42,42.13,6.42,0,0,0,0,0,0,0,0,0
"9047","BLI","27.2.a.2","TLW","ES",0,0,0.05,0.75,0.08,0,0,0,0,0,0,0
"9048","BLI","27.2.a.2","TLW","FR",5.77,7.12,0,0,0,0,0,0,0,0,0,0
"9049","BLI","27.2.a.2","TLW","GB",3.3,1.08,0.3,9.06,1.66,1.1,0.1,3.9,9.2,11,3.91,0
"9050","BLI","27.2.a.2","TLW","IS",0,0,0,0,0,6,0,0,0,0,0,0
"9051","BLI","27.2.a.2","TLW","NO",111.95,56.61,90.98,73.11,106.65,141.41,166.81,233.78,218,0,0,0
"9052","BLL","27.2.a.2","TLW","NO",0.03,0.04,0.02,0.04,0.05,0.02,0.05,0.02,0,0,0,0
"9053","BON","27.2.a.2","TLW","NO",0.06,0,0,0,0,0,0,0,0,0,0,0
"9054","BRF","27.2.a.2","TLW","GB",0,0,0,0,0,0,0,0,0,2,1,0
"9055","BSK","27.2.a.2","TLW","NO",0,0,0,0,0,22.38,2,0,0,0,0,0
"9056","BSS","27.2.a.2","TLW","NO",0,0,0,0,0,0.04,0,0,0,0,0,0
"9057","CAA","27.2.a.2","TLW","FR",2.37,0.84,0,0,0,0,0,0,0,0,0,0
"9058","CAA","27.2.a.2","TLW","GB",14.02,6.28,1.7,7.43,0.13,0.4,0,1.1,1.8,2,1,0
"9059","CAA","27.2.a.2","TLW","GL",1.7,0,0,0,0,0,0,0,0,0,0,0
"9060","CAA","27.2.a.2","TLW","IS",5,3,1,1,1,0,0,0,0,0,0,0
"9061","CAA","27.2.a.2","TLW","NO",203.58,246.12,254.57,232.77,211.08,504.19,465.26,408.62,364,0,0,0
"9062","CAA","27.2.a.2","TLW","PL",0,0.22,0.19,0,0,0,0,0,0,0,0,0
"9063","CAA","27.2.a.2","TLW","RU",6,0,0,0,0,0,0,0,0,0,0,0
"9064","CAB","27.2.a.2","TLW","DE",0.09,0,0,0,0,0,0,0,0,0,0,0
"9065","CAB","27.2.a.2","TLW","IS",0,0,4,0,5,0,0,0,0,0,0,0
"9066","CAB","27.2.a.2","TLW","NO",402.38,380.76,112.59,261.67,284.99,608.8,153.37,208.95,340,0,0,0
"9067","CAB","27.2.a.2","TLW","RU",230,0,0,0,0,0,0,0,0,0,0,0
"9068","CAP","27.2.a.2","TLW","GL",0,0,980,0,2310,3020,1215,0,0,0,0,0
"9069","CAP","27.2.a.2","TLW","IS",0,0,0,0,23746,86645,0,0,0,0,0,0
"9070","CAP","27.2.a.2","TLW","NO",0,751.7,61699.28,26546.18,50508.83,183443.03,47083.04,84819.46,62926,0,0,0
"9071","CAS","27.2.a.2","TLW","GL",5.8,1,0,0,0,0,0,0,0,0,0,0
"9072","CAS","27.2.a.2","TLW","IS",6,1,2,2,0,0,0,0,0,0,0,0
"9073","CAS","27.2.a.2","TLW","NO",1691.88,1471.76,1205.2,821.1,1550.31,1585.22,1914.48,899.92,1182,0,0,0
"9074","CAS","27.2.a.2","TLW","PL",2.42,1.4,0.37,0,0,0,0,0,0,0,0,0
"9075","CAS","27.2.a.2","TLW","RU",308,0,0,0,0,0,0,0,0,0,0,0
"9076","CAT","27.2.a.2","TLW","DE",2.69,0,1.59,0,0,0,0,0,0,0,0,0
"9077","CAT","27.2.a.2","TLW","DK",0,0,0,0,0,0,0,0,0,0,0.01,0
"9078","CAT","27.2.a.2","TLW","ES",0.12,0,0.22,0,0.24,0,0,0,0,0,0,0
"9079","CAT","27.2.a.2","TLW","GB",0,0,0,0,0,0.1,0.05,0,0,0.01,0.2,0
"9080","CAT","27.2.a.2","TLW","GL",0,1.3,1.7,2,1,0,4,0,0,0,0,0
"9081","CAT","27.2.a.2","TLW","IE",0,0,0,0,0,2.92,0,0,0,0,0,0
"9082","CAT","27.2.a.2","TLW","NO",0,0,0,0,242.66,0,271.25,192.84,356,0,0,0
"9083","CAT","27.2.a.2","TLW","PT",3.59,2.91,0,0,1.33,0,1.98,0,0,0,0,0
"9084","CLQ","27.2.a.2","TLW","NO",4.31,2.69,0,0,0,0,0,0,0,0,0,0
"9085","CLS","27.2.a.2","TLW","NO",1.55,0.03,0,0,0,0,0,0,0,0,0,0
"9086","CMO","27.2.a.2","TLW","DE",0.74,0,0,0,0,0,0,0,0,0,0,0
"9087","CMO","27.2.a.2","TLW","FR",0.07,0.03,0,0,0,0,0,0,0,0,0,0
"9088","CMO","27.2.a.2","TLW","NO",65.16,74.79,73.85,81.98,108.26,98.43,147.53,195.88,88,0,0,0
"9089","CMO","27.2.a.2","TLW","PL",0.05,0,0,0,0,0,0,0,0,0,0,0
"9090","COC","27.2.a.2","TLW","NO",0.22,0,0,0,0,0.75,5.13,17.55,27,0,0,0
"9091","COD","27.2.a.2","TLW","DE",1177.12,0,906.4,0,0,0,0,0,0,0,0,0
"9092","COD","27.2.a.2","TLW","DK",0,0,0,0,0,1.68,0,0.01,0,0,0,1
"9093","COD","27.2.a.2","TLW","ES",47.43,0,36.31,2267.6,1610.67,0,0,0,0,0,0,0
"9094","COD","27.2.a.2","TLW","FR",529.87,2008.98,0,0,0,0,0,0,0,0,0,0
"9095","COD","27.2.a.2","TLW","GB",2664.74,1387.85,2321.25,2051.7,917.47,1406.8,1157.4,2748.3,2663.9,3241.01,1900.6,0
"9096","COD","27.2.a.2","TLW","GL",6748.1,4748.8,2499.5,6298,9109,8298,6641,0,0,0,0,0
"9097","COD","27.2.a.2","TLW","IE",3.4,0,0.04,0,0,53.34,0,0,0,0,0,0
"9098","COD","27.2.a.2","TLW","IS",8509,8013,8053,9833,8174,4961,6347,0,0,0,0,0
"9099","COD","27.2.a.2","TLW","NO",243219.6,246638.21,246720.23,282331.34,266810.56,221486.15,214578.25,187418.32,141186,0,0,0
"9100","COD","27.2.a.2","TLW","PL",877.42,1020.17,879.66,0,0,0,0,0,0,0,0,0
"9101","COD","27.2.a.2","TLW","PT",2378.5,911.3,906.91,1256.56,2529.98,1758.03,1785.44,0,0,0,0,0
"9102","COD","27.2.a.2","TLW","RU",96212,0,0,0,0,0,0,0,0,0,0,0
"9103","COE","27.2.a.2","TLW","FR",0.04,0,0,0,0,0,0,0,0,0,0,0
"9104","COE","27.2.a.2","TLW","GB",0,0,0,0,0.01,0,0,0,0,0,0,0
"9105","COE","27.2.a.2","TLW","NO",0.02,0.09,0.09,0.09,0,0,0.02,0.08,0,0,0,0
"9106","CRA","27.2.a.2","TLW","NO",0,0,0,0,0,29.12,1.94,0.82,0.01,0,0,0
"9107","CRE","27.2.a.2","TLW","GB",0,0,0,0.06,0,0,0,0,0,0,0,0
"9108","CRE","27.2.a.2","TLW","NO",4341.96,4079.04,3775.39,3417.77,4022.11,3766.24,4178.84,4754.12,4047,0,0,0
"9109","CRG","27.2.a.2","TLW","NO",2.14,4.01,2.27,3.29,1.83,0,0.11,0,0,0,0,0
"9110","CRQ","27.2.a.2","TLW","NO",0,0.08,0,0,0,0,0,0,0,0,0,0
