"","StockKeyLabel","AssessmentYear","AssessmentKey","Purpose","Ecoregion","AdviceCategory","AssessmentKey1","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"21","alf.27.nea",2018,9476,"Advice","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","9476","4","Qualitative evaluation","-","-","Unknown","Unknown",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"22","alf.27.nea",2018,9476,"Advice","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","9476","4","Qualitative evaluation","-","-","Unknown","Unknown",2015,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"23","alf.27.nea",2018,9476,"Advice","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","9476","4","Qualitative evaluation","-","-","Unknown","Unknown",2016,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"24","alf.27.nea",2018,9476,"Advice","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","PA","9476","4","Qualitative evaluation","-","-","Unknown","Unknown",2017,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"25","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2015,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"26","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"27","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"28","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2015,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"29","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
"30","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","1","Maximum Sustainable Yield","F<sub>MSY</sub>","MSY B<sub>Trigger</sub>","Undefined","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Stock Size"
