Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2002,ple.27.24-32,benthic,2019,1.566,NA,0.215,NA,1269,915,353
2007,ple.27.24-32,benthic,2019,1.072,NA,0.466,NA,1658,1167,491
2003,ple.27.24-32,benthic,2019,2.047,NA,0.236,NA,1552,1281,271
2011,ple.27.24-32,benthic,2019,1.299,NA,0.684,NA,2125,748,1377
2006,ple.27.24-32,benthic,2019,0.856,NA,0.436,NA,1830,1012,818
2012,ple.27.24-32,benthic,2019,1.243,NA,0.773,NA,1766,848,917
2005,ple.27.24-32,benthic,2019,0.699,NA,0.34,NA,1247,1081,166
2016,ple.27.24-32,benthic,2019,0.465,NA,1.611,NA,1579,521,1058
2017,ple.27.24-32,benthic,2019,0.352,NA,2.232,NA,1058,650,408
2010,ple.27.24-32,benthic,2019,1.144,NA,0.536,NA,1901,903,998
2015,ple.27.24-32,benthic,2019,0.494,NA,1.124,NA,647,427,220
2014,ple.27.24-32,benthic,2019,0.678,NA,0.811,NA,1015,534,481
2013,ple.27.24-32,benthic,2019,1.388,NA,0.791,NA,1520,738,781
2011,tur.27.22-32,benthic,2018,NA,NA,3.45,NA,282,263,19
2012,tur.27.22-32,benthic,2018,NA,NA,2.3,NA,360,221,139
2013,tur.27.22-32,benthic,2018,NA,NA,2.9,NA,338,313,25
2014,tur.27.22-32,benthic,2018,NA,NA,2.4,NA,337,253,85
2015,tur.27.22-32,benthic,2018,NA,NA,3.25,NA,267,233,34
2016,tur.27.22-32,benthic,2018,NA,NA,3.65,NA,346,246,100
2017,tur.27.22-32,benthic,2018,NA,NA,3.97,NA,322,264,57
2015,her.27.20-24,pelagic,2018,0.32,0.31,101335,150000,37490,37490,NA
1999,her.27.20-24,pelagic,2018,0.564,0.31,120712,150000,97234,97234,NA
1996,her.27.20-24,pelagic,2018,0.637,0.31,131543,150000,121260,121260,NA
2014,her.27.20-24,pelagic,2018,0.309,0.31,98492,150000,37358,37358,NA
2017,her.27.20-24,pelagic,2018,0.332,0.31,104170,150000,46340,46340,NA
2013,her.27.20-24,pelagic,2018,0.336,0.31,90903,150000,43827,43827,NA
1991,her.27.20-24,pelagic,2018,0.47,0.31,296138,150000,191573,191573,NA
1997,her.27.20-24,pelagic,2018,0.623,0.31,148396,150000,115585,115585,NA
1998,her.27.20-24,pelagic,2018,0.606,0.31,120188,150000,107033,107033,NA
1995,her.27.20-24,pelagic,2018,0.616,0.31,191060,150000,150820,150820,NA
1992,her.27.20-24,pelagic,2018,0.514,0.31,295976,150000,194408,194408,NA
2016,her.27.20-24,pelagic,2018,0.334,0.31,102294,150000,51299,51299,NA
2012,her.27.20-24,pelagic,2018,0.342,0.31,76929,150000,38646,38646,NA
2000,her.27.20-24,pelagic,2018,0.574,0.31,122762,150000,109913,109913,NA
2009,her.27.20-24,pelagic,2018,0.501,0.31,82144,150000,67259,67259,NA
1993,her.27.20-24,pelagic,2018,0.561,0.31,278142,150000,185010,185010,NA
2003,her.27.20-24,pelagic,2018,0.491,0.31,130109,150000,78310,78310,NA
1994,her.27.20-24,pelagic,2018,0.597,0.31,223477,150000,172439,172439,NA
2001,her.27.20-24,pelagic,2018,0.567,0.31,137980,150000,105806,105806,NA
2010,her.27.20-24,pelagic,2018,0.416,0.31,77925,150000,42214,42214,NA
2011,her.27.20-24,pelagic,2018,0.341,0.31,73016,150000,27771,27771,NA
2008,her.27.20-24,pelagic,2018,0.538,0.31,87842,150000,69489,69489,NA
2002,her.27.20-24,pelagic,2018,0.519,0.31,164818,150000,106195,106195,NA
2004,her.27.20-24,pelagic,2018,0.493,0.31,131940,150000,76813,76813,NA
2005,her.27.20-24,pelagic,2018,0.508,0.31,121344,150000,88404,88404,NA
2007,her.27.20-24,pelagic,2018,0.531,0.31,106220,150000,68179,68179,NA
2006,her.27.20-24,pelagic,2018,0.51,0.31,132541,150000,90548,90548,NA
2012,her.27.25-2932,pelagic,2019,0.126,0.22,799912,6e+05,100893,100893,NA
2011,her.27.25-2932,pelagic,2019,0.173,0.22,762253,6e+05,116785,116785,NA
1999,her.27.25-2932,pelagic,2019,0.345,0.22,427964,6e+05,145922,145922,NA
1984,her.27.25-2932,pelagic,2019,0.224,0.22,1319221,6e+05,277926,277926,NA
1986,her.27.25-2932,pelagic,2019,0.202,0.22,1202450,6e+05,240516,240516,NA
1980,her.27.25-2932,pelagic,2019,0.187,0.22,1357790,6e+05,270282,270282,NA
1981,her.27.25-2932,pelagic,2019,0.203,0.22,1286823,6e+05,293615,293615,NA
1985,her.27.25-2932,pelagic,2019,0.23,0.22,1266825,6e+05,275760,275760,NA
1998,her.27.25-2932,pelagic,2019,0.398,0.22,505557,6e+05,185780,185780,NA
2010,her.27.25-2932,pelagic,2019,0.222,0.22,772795,6e+05,136706,136706,NA
1974,her.27.25-2932,pelagic,2019,0.185,0.22,1682551,6e+05,368652,368652,NA
1982,her.27.25-2932,pelagic,2019,0.174,0.22,1428553,6e+05,273134,273134,NA
1983,her.27.25-2932,pelagic,2019,0.224,0.22,1406334,6e+05,307601,307601,NA
2015,her.27.25-2932,pelagic,2019,0.224,0.22,860498,6e+05,174433,174433,NA
1994,her.27.25-2932,pelagic,2019,0.348,0.22,760267,6e+05,218260,218260,NA
2013,her.27.25-2932,pelagic,2019,0.113,0.22,829457,6e+05,100954,100954,NA
2014,her.27.25-2932,pelagic,2019,0.162,0.22,910224,6e+05,132700,132700,NA
1979,her.27.25-2932,pelagic,2019,0.195,0.22,1409129,6e+05,278182,278182,NA
1989,her.27.25-2932,pelagic,2019,0.291,0.22,1013490,6e+05,275501,275501,NA
1995,her.27.25-2932,pelagic,2019,0.327,0.22,649175,6e+05,188181,188181,NA
1996,her.27.25-2932,pelagic,2019,0.338,0.22,593262,6e+05,162578,162578,NA
1997,her.27.25-2932,pelagic,2019,0.373,0.22,555004,6e+05,160002,160002,NA
1993,her.27.25-2932,pelagic,2019,0.288,0.22,752237,6e+05,209094,209094,NA
1990,her.27.25-2932,pelagic,2019,0.276,0.22,870621,6e+05,228572,228572,NA
1987,her.27.25-2932,pelagic,2019,0.231,0.22,1147445,6e+05,248653,248653,NA
1988,her.27.25-2932,pelagic,2019,0.219,0.22,1150920,6e+05,255734,255734,NA
2009,her.27.25-2932,pelagic,2019,0.19,0.22,719152,6e+05,134127,134127,NA
2006,her.27.25-2932,pelagic,2019,0.213,0.22,581137,6e+05,110372,110372,NA
1991,her.27.25-2932,pelagic,2019,0.285,0.22,782481,6e+05,197676,197676,NA
1992,her.27.25-2932,pelagic,2019,0.254,0.22,801325,6e+05,189781,189781,NA
2000,her.27.25-2932,pelagic,2019,0.438,0.22,420361,6e+05,175646,175646,NA
1976,her.27.25-2932,pelagic,2019,0.194,0.22,1366922,6e+05,305420,305420,NA
2007,her.27.25-2932,pelagic,2019,0.214,0.22,611477,6e+05,116030,116030,NA
2008,her.27.25-2932,pelagic,2019,0.214,0.22,623954,6e+05,126155,126155,NA
1975,her.27.25-2932,pelagic,2019,0.2,0.22,1575411,6e+05,354851,354851,NA
2001,her.27.25-2932,pelagic,2019,0.373,0.22,397888,6e+05,148404,148404,NA
2002,her.27.25-2932,pelagic,2019,0.327,0.22,406593,6e+05,129222,129222,NA
2018,her.27.25-2932,pelagic,2019,0.286,0.22,938281,6e+05,244365,244365,NA
2003,her.27.25-2932,pelagic,2019,0.255,0.22,462156,6e+05,113584,113584,NA
1977,her.27.25-2932,pelagic,2019,0.189,0.22,1518985,6e+05,301952,301952,NA
1978,her.27.25-2932,pelagic,2019,0.164,0.22,1441323,6e+05,278966,278966,NA
2016,her.27.25-2932,pelagic,2019,0.266,0.22,825405,6e+05,192056,192056,NA
2017,her.27.25-2932,pelagic,2019,0.246,0.22,902291,6e+05,202517,202517,NA
2004,her.27.25-2932,pelagic,2019,0.215,0.22,465745,6e+05,93006,93006,NA
2005,her.27.25-2932,pelagic,2019,0.196,0.22,524421,6e+05,91592,91592,NA
2015,her.27.3031,pelagic,2019,1.532,NA,1.217,NA,114942,114942,NA
2003,her.27.3031,pelagic,2019,0.792,NA,1.004,NA,53644,53644,NA
2014,her.27.3031,pelagic,2019,1.4,NA,1.308,NA,115366,115366,NA
1991,her.27.3031,pelagic,2019,0.465,NA,1.208,NA,33419,33419,NA
